a : 			eyk
abiding : 	a.##deyr paa&nbsp;/&nbsp;mustaqil&nbsp;/&nbsp;paa'ey daar
ability : 	n.##aehliyat&nbsp;/&nbsp;Haesiyat&nbsp;/&nbsp;leyaaqat&nbsp;/&nbsp;majaal&nbsp;/&nbsp;maqduur qaabliyat&nbsp;/&nbsp;qudrat&nbsp;/&nbsp;salaaHat&nbsp;/&nbsp;taaqat
abject : 		a.##adna&nbsp;/&nbsp;buri&nbsp;/&nbsp;kamiinah&nbsp;/&nbsp;KHwaar&nbsp;/&nbsp;faro maayah&nbsp;/&nbsp;niich&nbsp;/&nbsp;nikammi&nbsp;/&nbsp;past&nbsp;/&nbsp;raziil&nbsp;/&nbsp;zaliil&nbsp;/&nbsp;zillat aameyz
abjectness : 	n.##dinaayat&nbsp;/&nbsp;kamiingi&nbsp;/&nbsp;zillat
abjure : 		v.t.##alfaaz waapas leyna&nbsp;/&nbsp;inHeraaf karna&nbsp;/&nbsp;inkar karna
ablaze : 		a.##jalta hu'a&nbsp;/&nbsp;roSHan&nbsp;/&nbsp;SHolah zan
able : 		a.##aehl&nbsp;/&nbsp;chust&nbsp;/&nbsp;laa'eq&nbsp;/&nbsp;mustaid&nbsp;/&nbsp;paRha likha&nbsp;/&nbsp;qaabil&nbsp;/&nbsp;qawi&nbsp;/&nbsp;tawaana
ably : 		adv.##qaabliyat sey
abloom : 		a&nbsp;/&nbsp;adv.##joban par&nbsp;/&nbsp;pur bahaar&nbsp;/&nbsp;SHaad aab
ablution : 	n.##dhulaa'i&nbsp;/&nbsp;tahaarat&nbsp;/&nbsp;wuzu
abnegate : 	n.##dast bar daari(f.)&nbsp;/&nbsp;inkaar(m.)&nbsp;/&nbsp;nafs kuSHi(f.)&nbsp;/&nbsp;tardiid(f.)
abnegation : 	n.##inkaar
abnormal : 	a.##GHaer mamuuli&nbsp;/&nbsp;KHelaaf e mamuul&nbsp;/&nbsp;maqaam&nbsp;/&nbsp;mustasna&nbsp;/&nbsp;SHaaz
abnormality : 	n.##mamuul sey inHeraaf
aboard : 		adv.##paehlu ba paehlu
abode : 		n.##baet&nbsp;/&nbsp;daar&nbsp;/&nbsp;guzaarah&nbsp;/&nbsp;manzil&nbsp;/&nbsp;maskan&nbsp;/&nbsp;Thikaana
abolish : 	v.t.##baatil karna&nbsp;/&nbsp;mauquuf karna&nbsp;/&nbsp;mansuuKH karna&nbsp;/&nbsp;rad karna
abolition : 	n.##mansuuKHi&nbsp;/&nbsp;mauquufi&nbsp;/&nbsp;tansiiKH
abominable : 	a.##ghinaa'ona&nbsp;/&nbsp;Haqiir&nbsp;/&nbsp;kariih&nbsp;/&nbsp;lanati&nbsp;/&nbsp;makruuh&nbsp;/&nbsp;paapi&nbsp;/&nbsp;qabiiH
abominate : 	v.t.##ghinaana&nbsp;/&nbsp;karaahat karna&nbsp;/&nbsp;nafrat karna
aborigine : 	n.##deysi baaSHindah&nbsp;/&nbsp;paraachin
abort : 		v.i.##asqaat karna&nbsp;/&nbsp;Hamal girana&nbsp;/&nbsp;peyT girna
abortion : 	n.##asqaat e Hamal
abortive : 	a.##ibtidaa'i&nbsp;/&nbsp;naa qis&nbsp;/&nbsp;naa kaaraah&nbsp;/&nbsp;qabl az waqt
abound : 		v.i.##baa afraat hona&nbsp;/&nbsp;kasrat sey hona
abounding : 	a.##nihaayat
about : 		prep.##adad&nbsp;/&nbsp;andaazan&nbsp;/&nbsp;baarah&nbsp;/&nbsp;baarey&nbsp;/&nbsp;dar&nbsp;/&nbsp;jagah&nbsp;/&nbsp;kam o beySH&nbsp;/&nbsp;mutaalliq&nbsp;/&nbsp;qariib qariib&nbsp;/&nbsp;taqriiban
(bring)about : 		baais&nbsp;/&nbsp;ruu numa&nbsp;/&nbsp;sabab&nbsp;/&nbsp;wujuud
(come)about : 		ruu numa hona&nbsp;/&nbsp;waaqe hona
about face : 	n.##bar aks&nbsp;/&nbsp;munh pheyri
above : 		prep.##baala&nbsp;/&nbsp;fauq&nbsp;/&nbsp;uupar&nbsp;/&nbsp;meyn&nbsp;/&nbsp;par&nbsp;/&nbsp;zabar
above all : 		muqaddam
abrasion : 	n.##ghisa&nbsp;/&nbsp;ghisaa'i
abreast : 	adv.##SHaanah bah SHaanah
abridge : 	v.t.##kam karna&nbsp;/&nbsp;KHulaasah karna&nbsp;/&nbsp;muKHtasar karna
abridgeable : 	a.##qaabil e KHulaasah
abridged : 	a.##muKHtasar
abridgement : 	n.##eKHtesaar
abroad : 		adv.##bey Thikaana&nbsp;/&nbsp;GHalti par&nbsp;/&nbsp;pardeys meyn
abrogate : 	v.t.##mansuuKH karna&nbsp;/&nbsp;moattal karna&nbsp;/&nbsp;rad karna
abrogation : 	a.##mansuuKHi
abrupt : 		a.##achaanak&nbsp;/&nbsp;eyka eyki&nbsp;/&nbsp;yak laKHt
abruption : 	n.##TuuT
abscess : 	n.##dunbal(m.)&nbsp;/&nbsp;phoRa(m.)
abscind : 	v.t.##kaaT deyna
abscond : 	v.i.##bhaag jaana&nbsp;/&nbsp;faraar hona&nbsp;/&nbsp;ruu poSH ho jaana
absconder : 	n.##bhagoRa&nbsp;/&nbsp;mafruur&nbsp;/&nbsp;ruu poSH
absconding : 	a.##faraar&nbsp;/&nbsp;ru poSH
absence : 	n.##adam e maujuudgi&nbsp;/&nbsp;firaaq&nbsp;/&nbsp;fuqdaaan&nbsp;/&nbsp;furqat&nbsp;/&nbsp;judaa'i&nbsp;/&nbsp;naaGHah
absent : 		a.##aujhal&nbsp;/&nbsp;GHaa'eb
absent minded : 	a.##GHaa'eb uz zehen&nbsp;/&nbsp;GHaer mutawajjah&nbsp;/&nbsp;gum sum
absentee : 	n.##GHaa'eb&nbsp;/&nbsp;GHaer Haazir
absently : 	adv.##adam e tawajjohi sey&nbsp;/&nbsp;bey dhyaani sey
absinthe : 	n.##naag daanah
absolute : 	a.##bey nisbat&nbsp;/&nbsp;bey qaed&nbsp;/&nbsp;kaamil&nbsp;/&nbsp;maeHz&nbsp;/&nbsp;mutlaq&nbsp;/&nbsp;puura&nbsp;/&nbsp;yaqiini
absolute temperature :  n. darjah Haraarat mutlaqah
absolute zero : 	n.##mutlaq sifar
absolutely : 	adv.##bilkul&nbsp;/&nbsp;maeHz&nbsp;/&nbsp;mutlaqaana&nbsp;/&nbsp;nira&nbsp;/&nbsp;qatan&nbsp;/&nbsp;zaruur
absoluteness : 	n.##kaamliyat&nbsp;/&nbsp;mutlaqiyat&nbsp;/&nbsp;mutlaq ul anaani
absolution : 	n.##barii uz zimmah&nbsp;/&nbsp;GHufraan&nbsp;/&nbsp;moaafi&nbsp;/&nbsp;nijaat
absolutist : 	a.##mutlaq ul anaani ka Haami
absolve : 	v.t.##aazaad karna&nbsp;/&nbsp;bari karna&nbsp;/&nbsp;faariGH karna&nbsp;/&nbsp;moaaf karna
absolved : 	a.##faariGH
absorb : 		v.t.##chuusna&nbsp;/&nbsp;jazb karna&nbsp;/&nbsp;khiinchna&nbsp;/&nbsp;piina&nbsp;/&nbsp;peywast karna
absorbed : 	a.##GHarq&nbsp;/&nbsp;gum&nbsp;/&nbsp;jazb&nbsp;/&nbsp;maeHw&nbsp;/&nbsp;majzuub
absorbent : 	n.##jaazib
absorbing : 	a.##dil chasp&nbsp;/&nbsp;pur kaSHiSH
absorption : 	n.##Hal&nbsp;/&nbsp;hazm&nbsp;/&nbsp;jazb&nbsp;/&nbsp;rachaawaT&nbsp;/&nbsp;taeHliil
abstain : 	v.i.##baaz aana&nbsp;/&nbsp;bachna&nbsp;/&nbsp;chhoRna&nbsp;/&nbsp;parheyz karna
abstemious : 	a.##moHtaat&nbsp;/&nbsp;paarsa&nbsp;/&nbsp;parHeyz gaar
abstemiously : 	adv.##moHtaati sey&nbsp;/&nbsp;paarsaa'i sey
abstention : 	n.##ijtenaab&nbsp;/&nbsp;parheyz
absterge : 	v.t.##pochhna&nbsp;/&nbsp;taHaarat karna&nbsp;/&nbsp;saaf karna
abstinence : 	n.##etedaal&nbsp;/&nbsp;iffat&nbsp;/&nbsp;parheyz&nbsp;/&nbsp;taqwa&nbsp;/&nbsp;zohd
abstinent : 	a.##motadil&nbsp;/&nbsp;paarsa&nbsp;/&nbsp;zaahid
abstract : 	a.##baariik&nbsp;/&nbsp;daqiiq&nbsp;/&nbsp;mujarrad&nbsp;/&nbsp;tajriidi&nbsp;/&nbsp;muSHkil
abstracted : 	a.##mujmal
abstract : 	v.t.##aKHz karna&nbsp;/&nbsp;alag karna&nbsp;/&nbsp;juda karna
abstraction : 	n.##tajriid
abstractly : 	adv.##mujarradan
abstruse : 	a.##daqiiq
absurd : 		a.##bey huudah&nbsp;/&nbsp;bey mani&nbsp;/&nbsp;bey sar o pa&nbsp;/&nbsp;GHaer maquul&nbsp;/&nbsp;laa yani&nbsp;/&nbsp;laGHw&nbsp;/&nbsp;mohmal&nbsp;/&nbsp;ojha&nbsp;/&nbsp;waahiyaat&nbsp;/&nbsp;waahi tabaahi
absurd talk : 	n.##bakwaas&nbsp;/&nbsp;phakkaR(m.)
absurdity : 	n.##bey huudgi&nbsp;/&nbsp;bey manwiyat&nbsp;/&nbsp;laa yaniyat&nbsp;/&nbsp;laGHwiyat&nbsp;/&nbsp;waahiyaat
abundance : 	n.##afraat&nbsp;/&nbsp;barkat&nbsp;/&nbsp;faraaGHat&nbsp;/&nbsp;faraawaani&nbsp;/&nbsp;kasrat&nbsp;/&nbsp;reyl peyl&nbsp;/&nbsp;wufuur&nbsp;/&nbsp;zeyaadti
abundant : 	a.##bahot sa&nbsp;/&nbsp;Dheyr&nbsp;/&nbsp;faazil&nbsp;/&nbsp;faraawaan&nbsp;/&nbsp;kasiir&nbsp;/&nbsp;maala maal&nbsp;/&nbsp;waafir
abuse : 		v.t.##aziiyat deyna&nbsp;/&nbsp;bey izzat karna&nbsp;/&nbsp;gaali deyna&nbsp;/&nbsp;saKHt sust kaehna&nbsp;/&nbsp;salwaateyn sunaana
abuse : 		n.##aabru reyzi&nbsp;/&nbsp;bad inwaani&nbsp;/&nbsp;bura kaam&nbsp;/&nbsp;buri Harkat&nbsp;/&nbsp;choT&nbsp;/&nbsp;duSHnaam&nbsp;/&nbsp;gaali&nbsp;/&nbsp;gaali galoch&nbsp;/&nbsp;salwaat
abusive : 	a.##bad lagaam&nbsp;/&nbsp;bad suluuk&nbsp;/&nbsp;bad zabaan&nbsp;/&nbsp;duruSHt go&nbsp;/&nbsp;duSHnaam taraaz&nbsp;/&nbsp;kalley daraaz&nbsp;/&nbsp;zabaan daraaz
abut : 		v.t.##mulHiq karna
abyss : 		n.##athaah KHaliij&nbsp;/&nbsp;dozaKH&nbsp;/&nbsp;gaehri khaa'i
abysmal : 	a.##athaah&nbsp;/&nbsp;dozaKH ki taraH gaehri khaa'i
abysmally : 	adv.##athaahi&nbsp;/&nbsp;gaehri khaa'i waala
acacia : 		n.##babuul&nbsp;/&nbsp;kiikar
academy : 	n.##idaarah(m.)&nbsp;/&nbsp;madrasat ul iluum(m.)
acajou : 		n.##kaaju
accede : 		v.i.##manzuur karna&nbsp;/&nbsp;qubuul karna&nbsp;/&nbsp;tasliim karna
accelerate : 	v.t.##chaal baRhaana&nbsp;/&nbsp;raftaar teyz karna
acclerated : 	a.##teyz tar
acceleration : 	n.##surat&nbsp;/&nbsp;tasaaro&nbsp;/&nbsp;teyz raftaari
accelerator : 	n.##aajil
accent : 		n.##lab o laehjah&nbsp;/&nbsp;laehjah&nbsp;/&nbsp;sur&nbsp;/&nbsp;talaffuz
accentuate : 	v.t.##zor Daalna
accept : 		v.t.##maanna&nbsp;/&nbsp;palley baandhna&nbsp;/&nbsp;pasand karna&nbsp;/&nbsp;qubuul karna&nbsp;/&nbsp;raza mand hona&nbsp;/&nbsp;tasliim karna
acceptable : 	a.##achchha&nbsp;/&nbsp;man bhaata&nbsp;/&nbsp;pasandiidah&nbsp;/&nbsp;qaabil e qubuul
acceptance : 	n.##maqbuuliyat&nbsp;/&nbsp;pasand&nbsp;/&nbsp;paziiraa'i&nbsp;/&nbsp;qubuuliyat&nbsp;/&nbsp;tasliim
acceptation : 	n.##qubuuliyat
accepted : 	a.##manzuur&nbsp;/&nbsp;musallamah&nbsp;/&nbsp;qubuul
accepting : 	a.##paziir
access : 		n.##daKHl(m.)&nbsp;/&nbsp;dastaras(f.)&nbsp;/&nbsp;guzaarah&nbsp;/&nbsp;mudaaKHilat(f.)&nbsp;/&nbsp;pahonch(f.)&nbsp;/&nbsp;rasaa'i(f.)&nbsp;/&nbsp;rusuuKH(m.)
accessibility : 	n.##qurbat
accessories : 	n.##lawaazimah
accident : 	n.##aafat&nbsp;/&nbsp;Haadisah&nbsp;/&nbsp;ittefaaq&nbsp;/&nbsp;uftaad
accidental : 	a.##aarzi&nbsp;/&nbsp;hangaami&nbsp;/&nbsp;ittefaaqi&nbsp;/&nbsp;waqti
accidentally : 	adv.##ittefaaqan&nbsp;/&nbsp;naa gahaani
acclaim : 	v.t.##aafriin&nbsp;/&nbsp;daad deyna&nbsp;/&nbsp;eteraaf karna
acclamation : 	n.##daad(f.)
acclimitise : 	v.t.##aadi banna
acclimatised : 	a.##aadi&nbsp;/&nbsp;KHu gar
acclivity : 	n.##chaRhaan&nbsp;/&nbsp;faraaz&nbsp;/&nbsp;matla
accolade : 	n.##baGHal giiri
accommodate : 	v.t.##ham aahang hona&nbsp;/&nbsp;Hemaayat karna&nbsp;/&nbsp;mowaafiq hona
accommodating : 	a.##ham aahang&nbsp;/&nbsp;muwaffiq
accommodation : 	n.##gunjaa'iSH&nbsp;/&nbsp;jagah&nbsp;/&nbsp;kamrah&nbsp;/&nbsp;khapat&nbsp;/&nbsp;makaan&nbsp;/&nbsp;meyl milaap&nbsp;/&nbsp;musaaleHat&nbsp;/&nbsp;rehaa'iSH
accomodative : 	a.##aaSHti paziir&nbsp;/&nbsp;baa nurawwat&nbsp;/&nbsp;leHaaz daar
accompany : 	v.t.##pahonchaana&nbsp;/&nbsp;rafaaqat deyna&nbsp;/&nbsp;sang ho leyna&nbsp;/&nbsp;saath ho leyna		
accompaniment : 	n.##saath&nbsp;/&nbsp;saathi
accompanying : 	adv.##piichhey piichhey
accompanying with : 	saath
accomplice : 	n.##ham gunaah&nbsp;/&nbsp;jurm ka saathi
accomplish : 	v.t.##anjaam deyna&nbsp;/&nbsp;mukammal karna&nbsp;/&nbsp;paar utarna&nbsp;/&nbsp;puura karna&nbsp;/&nbsp;sar karna
accomplished : 	a.##ada&nbsp;/&nbsp;aehl&nbsp;/&nbsp;anjaam paziir&nbsp;/&nbsp;faazil&nbsp;/&nbsp;kaamil&nbsp;/&nbsp;maahir&nbsp;/&nbsp;mukammal&nbsp;/&nbsp;sughaR&nbsp;/&nbsp;tarbiyat yaaftah
accomplishment : 	a.##aehliyat&nbsp;/&nbsp;hunar&nbsp;/&nbsp;itmaam&nbsp;/&nbsp;kaar naamah&nbsp;/&nbsp;kamaal&nbsp;/&nbsp;mahaarat
accord : 		n.##aaSHti&nbsp;/&nbsp;ittefaaq e raa'ey&nbsp;/&nbsp;itteHaad&nbsp;/&nbsp;moaahedah&nbsp;/&nbsp;paemaan&nbsp;/&nbsp;qubuul&nbsp;/&nbsp;samjhotah
accordance : 	n.##ittefaaq
according : 	a.##gawaarah&nbsp;/&nbsp;mutaabiq&nbsp;/&nbsp;saaz gaar&nbsp;/&nbsp;taeHt
according to : 	adv.##ba muujib&nbsp;/&nbsp;ba mutaabiq
accost : 		v.t.##KHitaab karna
accost : 		n.##KHitaab
account : 	v.t.##Hesaab leyna
account : 	n.##bayaan&nbsp;/&nbsp;ginti&nbsp;/&nbsp;Haesiyat&nbsp;/&nbsp;Hesaab&nbsp;/&nbsp;joR&nbsp;/&nbsp;kaefiyat&nbsp;/&nbsp;khaata&nbsp;/&nbsp;KHabar&nbsp;/&nbsp;martabah&nbsp;/&nbsp;SHumaar
account holder : 	n.##khaatey daar
accountable : 	a.##taabe eHtesaab&nbsp;/&nbsp;zimmah daar
accountability :  n.##eHtesaab&nbsp;/&nbsp;qaabil e moaKHzah
accountancy : 	n.##muHaasibi(f.)&nbsp;/&nbsp;muniimi(f.)&nbsp;/&nbsp;peySHa e Hesaab daari(m.)
accountant : 	n.##Hesaab daar(m.)&nbsp;/&nbsp;muHaasib(m.)&nbsp;/&nbsp;muniim(m.)
accounting : 	n.##fann e Hesaab daari
accourt : 	v.t.##dawat deyna&nbsp;/&nbsp;meyzbaani karna
accoutrement : 	v.t.##hathyaar sey leys karna
accumulate : 	v.t.##Dheyr lagaana&nbsp;/&nbsp;jama karna&nbsp;/&nbsp;sameyTna
accumulated : 	a.##faraaham&nbsp;/&nbsp;jama SHudah
accumulation : 	n.##Dheyr
accuracy : 	n.##bilkul&nbsp;/&nbsp;durusti&nbsp;/&nbsp;khara pan&nbsp;/&nbsp;raasti&nbsp;/&nbsp;sachchaa'i&nbsp;/&nbsp;saHiiH&nbsp;/&nbsp;Thiik Thiik
accurate : 	a.##durust&nbsp;/&nbsp;sach&nbsp;/&nbsp;saHiiH&nbsp;/&nbsp;meyaar
accursed : 	a.##maluun
accusation : 	n.##dawah&nbsp;/&nbsp;ilzaam&nbsp;/&nbsp;naaliSH&nbsp;/&nbsp;SHikaayet
accusatory : 	a.##tohmataanah
accuse : 		v.t.##ilzaam taraaSHi karna&nbsp;/&nbsp;maluun karna&nbsp;/&nbsp;naam lagaana&nbsp;/&nbsp;tohmat lagaana
accused : 	n.##muddaa alaeh(m.)&nbsp;/&nbsp;muddaa alaeha(f.)&nbsp;/&nbsp;mulzim(m.)
accuser : 	n.##ilzaam taraaSH&nbsp;/&nbsp;muddai&nbsp;/&nbsp;naaliSHi
accustom : 	v.t.##aadi hona&nbsp;/&nbsp;KHuugar hona
accustomed : 	a.##aadi&nbsp;/&nbsp;KHu gar&nbsp;/&nbsp;maa nuus&nbsp;/&nbsp;murawwaj&nbsp;/&nbsp;rawaayati
ace : 		n.##aHsan&nbsp;/&nbsp;ekka&nbsp;/&nbsp;maahir&nbsp;/&nbsp;mumtaaz&nbsp;/&nbsp;numaayaan&nbsp;/&nbsp;yakka&nbsp;/&nbsp;yakta
acerb : 		a.##aeyb chiin&nbsp;/&nbsp;khaTTa&nbsp;/&nbsp;talKH&nbsp;/&nbsp;turSH		
ache : 		v.i.##dard hona&nbsp;/&nbsp;dukhna&nbsp;/&nbsp;chasakna&nbsp;/&nbsp;kasakna
ache : 		n.##dard&nbsp;/&nbsp;dukh&nbsp;/&nbsp;Teys
achievable : 	n.##kardni&nbsp;/&nbsp;qaabil e Husuul&nbsp;/&nbsp;qaabil e takmiil
achieve : 	v.t.##Haasil karna&nbsp;/&nbsp;nibaahna&nbsp;/&nbsp;paana&nbsp;/&nbsp;puura karna&nbsp;/&nbsp;tamiil karna&nbsp;/&nbsp;tiir maarna
achievement : 	n.##Husuul&nbsp;/&nbsp;kaam yaabi&nbsp;/&nbsp;kaar naamah&nbsp;/&nbsp;takmiil
acid : 		a.##teyz&nbsp;/&nbsp;teyz aabi
acid : 		n.##teyz aab&nbsp;/&nbsp;Hamz&nbsp;/&nbsp;turSHah
acidly : 		adv.##turSHi sey
acidity : 	a.##khaTaas
acknowledge : 	v.t.##eqraar karna&nbsp;/&nbsp;eteraaf karna&nbsp;/&nbsp;maanna&nbsp;/&nbsp;qubuul karna&nbsp;/&nbsp;tasliim karna
acknowledged : 	a.##maana hu'a&nbsp;/&nbsp;tasliim SHudah
acknowledgement : n.##eqraar&nbsp;/&nbsp;eteraaf&nbsp;/&nbsp;qubuul&nbsp;/&nbsp;rasiid
acloyte : 	n.##kumak&nbsp;/&nbsp;moaawin
acme : 		n.##buland tariin maqaam&nbsp;/&nbsp;choTi&nbsp;/&nbsp;raas&nbsp;/&nbsp;iruuj
acne : 		n.##mohaasa
acquaintance : 	n.##aagaahi&nbsp;/&nbsp;aaSHnaa'i&nbsp;/&nbsp;paehchaan&nbsp;/&nbsp;rasm or raah&nbsp;/&nbsp;ru SHinaas&nbsp;/&nbsp;SHinaasaa'i&nbsp;/&nbsp;waaqif kaar&nbsp;/&nbsp;waaqfiyat
acquainted : 	a.##aagaah&nbsp;/&nbsp;aaSHna&nbsp;/&nbsp;KHabar daar&nbsp;/&nbsp;SHinaasa&nbsp;/&nbsp;waaqif
acquainted with : a.##aaSHna&nbsp;/&nbsp;SHinaas&nbsp;/&nbsp;mutaarrif
acquiescence : 	n.##eqraar&nbsp;/&nbsp;marzi&nbsp;/&nbsp;mowaafiqat&nbsp;/&nbsp;raza&nbsp;/&nbsp;raza mandi
acquire : 	v.t.##Haasil karna&nbsp;/&nbsp;paana&nbsp;/&nbsp;paeda karna&nbsp;/&nbsp;qabzah karna
acquired : 	a.##Haasil kardah&nbsp;/&nbsp;taeHsiil SHudah
acquiring : 	a.##faa'ez
acquiring : 	n.##jalb(m.)
acquisition : 	n.##andoKHtah&nbsp;/&nbsp;Husuul&nbsp;/&nbsp;wusuul
acquittal : 	n.##aazaadgi(f.)
acrid : 		a.##kaRwa&nbsp;/&nbsp;teyz
acrimonious : 	a.##kaRwa&nbsp;/&nbsp;karaKHt&nbsp;/&nbsp;soz naak&nbsp;/&nbsp;talKH
acrimony : 	n.##Hiddat&nbsp;/&nbsp;talKHi&nbsp;/&nbsp;teyz mizaaji&nbsp;/&nbsp;tund KHuu'i
acrobat : 	n.##baazi gar&nbsp;/&nbsp;qala baaz&nbsp;/&nbsp;naT
acrobatics : 	n.##baazi gari&nbsp;/&nbsp;kartab
across : 		prep.##aar paar&nbsp;/&nbsp;paar
act : 		v.i.##ada kaari karna&nbsp;/&nbsp;amal&nbsp;/&nbsp;dikhaawa&nbsp;/&nbsp;Harkat&nbsp;/&nbsp;kheylna&nbsp;/&nbsp;naql karna
act : 		n.##amal&nbsp;/&nbsp;fel&nbsp;/&nbsp;kaar
act as : 			qaa'em maqaami
act on : 			pur amal&nbsp;/&nbsp;tamiil
acting : 		n.##ada kaari&nbsp;/&nbsp;naql&nbsp;/&nbsp;qaa'em maqaam&nbsp;/&nbsp;sawaang
action : 		n.##amal&nbsp;/&nbsp;asar&nbsp;/&nbsp;fel&nbsp;/&nbsp;Harkat&nbsp;/&nbsp;kaar rawaa'i
activate : 	v.t.##mutaHarrik karna
active : 		a.##aamil&nbsp;/&nbsp;chaaq&nbsp;/&nbsp;chust&nbsp;/&nbsp;faaeli&nbsp;/&nbsp;phurtiila&nbsp;/&nbsp;teyz
activity : 	n.##aamliyat&nbsp;/&nbsp;chaal&nbsp;/&nbsp;peySH qadmi&nbsp;/&nbsp;phurti&nbsp;/&nbsp;sar garmi
actor : 		n.##ada kaar&nbsp;/&nbsp;faael
actual : 		a.##asli&nbsp;/&nbsp;huu bahu&nbsp;/&nbsp;waaqei
actual : 		n.##asli&nbsp;/&nbsp;huu bahu
actuality : 	n.##amr e musallam&nbsp;/&nbsp;waaqeiyat
actually : 	adv.##aslan&nbsp;/&nbsp;dar Haqiiqat&nbsp;/&nbsp;waaqeatan
acturary : 	n.##moHarrir(m.)&nbsp;/&nbsp;munSHi(m.)
acuity : 		n.##kaaT&nbsp;/&nbsp;teyzi
acumen : 		n.##baariik biini&nbsp;/&nbsp;firaasat&nbsp;/&nbsp;jaulaani&nbsp;/&nbsp;suraat e idraak&nbsp;/&nbsp;teyz faeHmi&nbsp;/&nbsp;zakaawat&nbsp;/&nbsp;zehen
acute : 		a.##basiir&nbsp;/&nbsp;Haadah&nbsp;/&nbsp;nokiila&nbsp;/&nbsp;SHadiid&nbsp;/&nbsp;teyz
acutely : 	adv.##SHiddat key saath&nbsp;/&nbsp;teyzi key saath
